id,user_id,session_id,activity_type,action,description,resource_type,resource_id,old_values,new_values,ip_address,user_agent,log_metadata,severity,created_at
1,,80f91634-bad5-40a8-a2da-c1a867ead4d8,VIEW,Viewed /api/notifications/stats,GET /api/notifications/stats,Notification,,,,127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","{'method': 'GET', 'endpoint': '/api/notifications/stats', 'status_code': 500, 'response_time': 69}",INFO,2025-09-18 07:34:37+00:00
2,,896b42d3-db52-483a-8c78-31ef4a22fd44,VIEW,Viewed /api/notifications/stats,GET /api/notifications/stats,Notification,,,,127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","{'method': 'GET', 'endpoint': '/api/notifications/stats', 'status_code': 500, 'response_time': 60}",INFO,2025-09-18 07:34:53+00:00
3,,9bae9540-7749-4456-8532-fa367152dea0,VIEW,Viewed /api/notifications/stats,GET /api/notifications/stats,Notification,,,,127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","{'method': 'GET', 'endpoint': '/api/notifications/stats', 'status_code': 500, 'response_time': 4}",INFO,2025-09-18 07:35:06+00:00
4,,d19d81d3-bd4d-450b-b522-a97cc994a501,VIEW,Viewed /api/notifications/stats,GET /api/notifications/stats,Notification,,,,127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","{'method': 'GET', 'endpoint': '/api/notifications/stats', 'status_code': 500, 'response_time': 6}",INFO,2025-09-18 07:35:09+00:00
5,,15374c02-6afb-403b-be8d-5951e3968c5b,API_CALL,OPTIONS request to /auth/login,OPTIONS /auth/login,Unknown,,,,127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","{'method': 'OPTIONS', 'endpoint': '/auth/login', 'status_code': 200, 'response_time': 0}",INFO,2025-09-18 07:35:15+00:00
6,,85203add-ec6f-4d61-b673-583697f13d3d,LOGIN,User logged in,POST /auth/login,Unknown,,,,127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","{'method': 'POST', 'endpoint': '/auth/login', 'status_code': 401, 'response_time': 317}",INFO,2025-09-18 07:35:15+00:00
7,,10efbb3e-b3e0-41ad-9ec2-89e3e62011ba,LOGIN,User logged in,POST /auth/login,Unknown,,,,127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","{'method': 'POST', 'endpoint': '/auth/login', 'status_code': 200, 'response_time': 306}",INFO,2025-09-18 07:35:23+00:00
8,,f3909dc3-39a9-4caa-9575-76b28c26c8d6,API_CALL,OPTIONS request to /api/notifications/,OPTIONS /api/notifications/,Notification,,,,127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","{'method': 'OPTIONS', 'endpoint': '/api/notifications/', 'status_code': 200, 'response_time': 0}",INFO,2025-09-18 07:35:26+00:00
9,,998a0684-37bc-4eae-b80b-f30ae46f297d,VIEW,Viewed /api/notifications/stats,GET /api/notifications/stats,Notification,,,,127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","{'method': 'GET', 'endpoint': '/api/notifications/stats', 'status_code': 500, 'response_time': 11}",INFO,2025-09-18 07:35:26+00:00
10,,8e4fe353-4ed2-423a-861c-f984efc9b565,VIEW,Viewed /api/notifications/,GET /api/notifications/,Notification,,,,127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","{'method': 'GET', 'endpoint': '/api/notifications/', 'status_code': 200, 'response_time': 10}",INFO,2025-09-18 07:35:26+00:00
