id,name,short_name,logo_url,website,phone,email,address,city,region,country,postal_code,type_of_company,district,date_of_incorporation,date_of_commencement,nature_of_business,registration_number,tax_identification_number,phone_number,directors,secretary,auditor,authorized_shares,stated_capital,shareholders,other_linked_companies,tin_number,established_date,company_type,industry,ownership_type,business_activities,previous_names,board_of_directors,key_personnel,subsidiaries,annual_revenue,net_worth,employee_count,rating,head_office_address,customer_service_phone,customer_service_email,has_website,has_social_media,has_mobile_app,is_active,is_verified,verification_date,verification_notes,search_count,last_searched,created_at,updated_at,created_by,updated_by,description,notes,status
1,MTN Ghana Limited Updated,MTN Ghana,/companies/mtn-ghana.png,https://www.mtn.com.gh,+233 30 277 2778,info@gcbbank.com,"High Street, Accra Central, Ghana",Accra,Greater Accra,Ghana,GA-184-0024,Public Limited Company,Accra Metropolitan,1953-01-01,1953-02-01,Banking and Financial Services,RC123456,C0001234567,+233-302-123456,"[{'name': 'Dr. Ernest Addison', 'email': 'ernest.addison@gcbbank.com', 'address': '123 Independence Avenue, Accra', 'contact': '+233-244-123456', 'occupation': 'Banker', 'nationality': 'Ghanaian', 'other_directorship': ['Bank of Ghana', 'Ghana Stock Exchange'], 'tax_identification_number': 'P0001234567'}, {'name': 'Mrs. Grace Amoah', 'email': 'grace.amoah@gcbbank.com', 'address': '456 Ring Road, Accra', 'contact': '+233-244-234567', 'occupation': 'Accountant', 'nationality': 'Ghanaian', 'other_directorship': ['Ghana Revenue Authority'], 'tax_identification_number': 'P0002345678'}]","{'name': 'Mr. Kwame Asante', 'email': 'kwame.asante@gcbbank.com', 'address': '789 Oxford Street, Accra', 'contact': '+233-244-345678', 'occupation': 'Company Secretary', 'nationality': 'Ghanaian', 'tax_identification_number': 'P0003456789'}","{'name': 'KPMG Ghana', 'email': 'ghana@kpmg.com', 'address': '10 Independence Avenue, Accra', 'contact': '+233-302-456789', 'occupation': 'Auditing Firm', 'nationality': 'Ghanaian', 'tax_identification_number': 'C0004567890'}",1000000000,500000000.00,"[{'name': 'Government of Ghana', 'email': 'info@ghana.gov.gh', 'address': 'Flagstaff House, Accra', 'contact': '+233-302-789012', 'occupation': 'Government', 'nationality': 'Ghanaian', 'shares_alloted': 600000000, 'consideration_payable': 'Cash', 'tax_identification_number': 'G0007890123'}, {'name': 'Dr. John Mensah', 'email': 'john.mensah@email.com', 'address': '321 Labone, Accra', 'contact': '+233-244-456789', 'occupation': 'Businessman', 'nationality': 'Ghanaian', 'shares_alloted': 10000000, 'consideration_payable': 'Cash', 'tax_identification_number': 'P0004567890'}]","['GCB Capital Limited', 'GCB Properties Limited', 'GCB Insurance Brokers Limited']",C0001234567,2006-01-01 00:00:00,Limited,Telecommunications,Foreign,"['Mobile Services', 'Data Services', 'Financial Services', 'Digital Solutions']","['MTN Ghana Limited', 'MTN Ghana', 'Scancom Limited']","[{'name': 'Selorm Adadevoh', 'position': 'CEO', 'nationality': 'Ghanaian'}, {'name': 'Ismail Jaroudi', 'position': 'Chairman', 'nationality': 'Lebanese'}]","[{'name': 'Selorm Adadevoh', 'position': 'CEO'}, {'name': 'Eli Hini', 'position': 'Chief Marketing Officer'}, {'name': 'Samuel Addo', 'position': 'Chief Financial Officer'}]","['MTN Mobile Money Limited', 'MTN Business Ghana']",2500000000.0,500000000.0,2500,A+,"MTN House, Independence Avenue, Accra",+233 30 277 2777,customerservice@mtn.com.gh,True,True,True,True,True,,,59,2025-09-27 17:22:29.311483,2025-09-12 11:04:20,2025-09-28 15:31:12.344189,,,"Leading telecommunications company in Ghana providing mobile, data, and financial services.",,ACTIVE
14,Aaron Kwesi Kaitoo Mechanical Lloyd PLC,Aaron Kwesi Kaitoo,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Public Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
15,Aaron Wiston Kwashie Fiagbedzie,Aaron Wiston Kwashie,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,German Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
16,Abdul Mumuni Bagigah,Abdul Mumuni Bagigah,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,German Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
17,Abdul Rahman Bossah Adams,Abdul Rahman Bossah,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
18,Abdul Rauf Murtada ENTERPRISE,Abdul Rauf Murtada,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
19,Abdul Samed Seidu,Abdul Samed Seidu,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
20,Abdulai Mahamadu And Naa Sule Alhassan,Abdulai Mahamadu And,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
21,Abeiku & CO,Abeiku & CO,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
22,Abii International Savings & Loans,Abii International Savings,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
