id,company_id,risk_score,risk_level,risk_factors,total_monetary_amount,average_case_value,financial_risk_level,primary_subject_matter,subject_matter_categories,legal_issues,financial_terms,regulatory_compliance_score,customer_dispute_rate,operational_risk_score,business_continuity_score,market_risk_score,credit_risk_score,reputation_risk_score,case_complexity_score,success_rate,last_updated,created_at
1,1,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:25:53+00:00,2025-09-14 19:25:53+00:00
2,2,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:25:53+00:00,2025-09-14 19:25:53+00:00
3,10,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:25:55+00:00,2025-09-14 19:25:55+00:00
7,14,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:22+00:00,2025-09-14 19:45:22+00:00
8,15,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:23+00:00,2025-09-14 19:45:23+00:00
9,16,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:24+00:00,2025-09-14 19:45:24+00:00
10,17,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:25+00:00,2025-09-14 19:45:25+00:00
11,18,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:26+00:00,2025-09-14 19:45:26+00:00
12,19,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:27+00:00,2025-09-14 19:45:27+00:00
13,20,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:28+00:00,2025-09-14 19:45:28+00:00
14,21,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:28+00:00,2025-09-14 19:45:28+00:00
15,22,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:29+00:00,2025-09-14 19:45:29+00:00
16,23,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:30+00:00,2025-09-14 19:45:30+00:00
17,24,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:31+00:00,2025-09-14 19:45:31+00:00
18,25,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:32+00:00,2025-09-14 19:45:32+00:00
19,26,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:33+00:00,2025-09-14 19:45:33+00:00
20,27,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:34+00:00,2025-09-14 19:45:34+00:00
21,28,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:35+00:00,2025-09-14 19:45:35+00:00
22,29,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:36+00:00,2025-09-14 19:45:36+00:00
23,30,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:36+00:00,2025-09-14 19:45:36+00:00
24,31,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:37+00:00,2025-09-14 19:45:37+00:00
25,32,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:38+00:00,2025-09-14 19:45:38+00:00
26,33,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:39+00:00,2025-09-14 19:45:39+00:00
27,34,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:40+00:00,2025-09-14 19:45:40+00:00
28,35,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:41+00:00,2025-09-14 19:45:41+00:00
29,36,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:42+00:00,2025-09-14 19:45:42+00:00
30,37,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:43+00:00,2025-09-14 19:45:43+00:00
31,38,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:44+00:00,2025-09-14 19:45:44+00:00
32,39,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:44+00:00,2025-09-14 19:45:44+00:00
33,40,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:45+00:00,2025-09-14 19:45:45+00:00
34,41,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:46+00:00,2025-09-14 19:45:46+00:00
35,42,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:47+00:00,2025-09-14 19:45:47+00:00
36,43,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:48+00:00,2025-09-14 19:45:48+00:00
37,44,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:49+00:00,2025-09-14 19:45:49+00:00
38,45,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:50+00:00,2025-09-14 19:45:50+00:00
39,46,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:51+00:00,2025-09-14 19:45:51+00:00
40,47,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:52+00:00,2025-09-14 19:45:52+00:00
41,48,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:52+00:00,2025-09-14 19:45:52+00:00
42,49,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:53+00:00,2025-09-14 19:45:53+00:00
43,50,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:54+00:00,2025-09-14 19:45:54+00:00
44,51,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:55+00:00,2025-09-14 19:45:55+00:00
45,52,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:56+00:00,2025-09-14 19:45:56+00:00
46,53,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:57+00:00,2025-09-14 19:45:57+00:00
47,54,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:58+00:00,2025-09-14 19:45:58+00:00
48,55,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:45:59+00:00,2025-09-14 19:45:59+00:00
49,56,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:46:00+00:00,2025-09-14 19:46:00+00:00
50,57,0,Low,,0.00,0.00,Low,,,,,0,0.00,0,0,0,0,0,0,0.00,2025-09-14 19:46:00+00:00,2025-09-14 19:46:00+00:00
