id,company_id,total_cases,resolved_cases,unresolved_cases,favorable_cases,unfavorable_cases,mixed_cases,case_outcome,last_updated,created_at
1,1,1,0,1,0,0,1,Mixed,2025-09-14 19:25:53+00:00,2025-09-14 19:25:53+00:00
2,2,10,0,10,0,0,10,Mixed,2025-09-14 19:25:54+00:00,2025-09-14 19:25:54+00:00
3,10,35,0,35,0,0,35,Mixed,2025-09-14 19:25:56+00:00,2025-09-14 19:25:56+00:00
7,14,3,0,3,0,0,3,Mixed,2025-09-14 19:45:23+00:00,2025-09-14 19:45:23+00:00
8,15,1,0,1,0,0,1,Mixed,2025-09-14 19:45:23+00:00,2025-09-14 19:45:23+00:00
9,16,1,0,1,0,0,1,Mixed,2025-09-14 19:45:24+00:00,2025-09-14 19:45:24+00:00
10,17,1,0,1,0,0,1,Mixed,2025-09-14 19:45:25+00:00,2025-09-14 19:45:25+00:00
11,18,2,0,2,0,0,2,Mixed,2025-09-14 19:45:26+00:00,2025-09-14 19:45:26+00:00
12,19,1,0,1,0,0,1,Mixed,2025-09-14 19:45:27+00:00,2025-09-14 19:45:27+00:00
13,20,1,0,1,0,0,1,Mixed,2025-09-14 19:45:28+00:00,2025-09-14 19:45:28+00:00
14,21,1,0,1,0,0,1,Mixed,2025-09-14 19:45:29+00:00,2025-09-14 19:45:29+00:00
15,22,1,1,0,0,0,1,Mixed,2025-09-14 19:45:30+00:00,2025-09-14 19:45:30+00:00
16,23,4,0,4,0,0,4,Mixed,2025-09-14 19:45:31+00:00,2025-09-14 19:45:31+00:00
17,24,4,0,4,0,0,4,Mixed,2025-09-14 19:45:32+00:00,2025-09-14 19:45:32+00:00
18,25,1,0,1,0,0,1,Mixed,2025-09-14 19:45:32+00:00,2025-09-14 19:45:32+00:00
19,26,1,0,1,0,0,1,Mixed,2025-09-14 19:45:33+00:00,2025-09-14 19:45:33+00:00
20,27,1,0,1,0,0,1,Mixed,2025-09-14 19:45:34+00:00,2025-09-14 19:45:34+00:00
21,28,1,0,1,0,0,1,Mixed,2025-09-14 19:45:35+00:00,2025-09-14 19:45:35+00:00
22,29,72,2,70,0,0,72,Mixed,2025-09-14 19:45:36+00:00,2025-09-14 19:45:36+00:00
23,30,3,0,3,0,0,3,Mixed,2025-09-14 19:45:37+00:00,2025-09-14 19:45:37+00:00
24,31,2,1,1,0,0,2,Mixed,2025-09-14 19:45:38+00:00,2025-09-14 19:45:38+00:00
25,32,2,0,2,0,0,2,Mixed,2025-09-14 19:45:39+00:00,2025-09-14 19:45:39+00:00
26,33,1,0,1,0,0,1,Mixed,2025-09-14 19:45:40+00:00,2025-09-14 19:45:40+00:00
27,34,4,0,4,0,0,4,Mixed,2025-09-14 19:45:40+00:00,2025-09-14 19:45:40+00:00
28,35,1,0,1,0,0,1,Mixed,2025-09-14 19:45:41+00:00,2025-09-14 19:45:41+00:00
