id,name,registry_name,court_type,region,location,address,city,district,latitude,longitude,google_place_id,area_coverage,contact_phone,contact_email,website,court_picture_url,additional_images,operating_hours,is_active,is_verified,created_at,updated_at,created_by,updated_by,search_count,last_searched,notes,status
9,Tarkwa High Court,,High Court,Western,Tarkwa,"Tarkwa High Court, Tarkwa, Western Region",,,5.3,-1.9833,,Jurisdiction covers Tarkwa and surrounding areas,+233 312 030 123,tarkwa.highcourt@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Tarkwa, Western region",ACTIVE
10,Sekondi High Court,,High Court,Western,Sekondi,"Sekondi High Court, Sekondi, Western Region",,,4.9333,-1.7167,,Jurisdiction covers Sekondi and surrounding areas,+233 312 020 123,sekondi.highcourt@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Sekondi, Western region",ACTIVE
11,Commercial Court – A,,Unknown,Western,Sekondi,"Commercial Court – A, Sekondi, Western",,,5.123945,-2.245506,,Jurisdiction covers Sekondi and surrounding areas,+233 543 235 873,sekondi.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Sekondi, Western region",ACTIVE
12,Commercial Court – B,,Unknown,Western,Sekondi,"Commercial Court – B, Sekondi, Western",,,4.880212,-1.61915,,Jurisdiction covers Sekondi and surrounding areas,+233 312 241 743,sekondi.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Sekondi, Western region",ACTIVE
13,Takoradi Circuit Court – A,,Circuit Court,Western,Takoradi,"Takoradi Circuit Court – A, Takoradi, Western",,,5.742049,-2.110425,,Jurisdiction covers Takoradi and surrounding areas,+233 257 810 855,takoradi.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Takoradi, Western region",ACTIVE
14,Takoradi Circuit Court – B,,Circuit Court,Western,Takoradi,"Takoradi Circuit Court – B, Takoradi, Western",,,4.825262,-1.602557,,Jurisdiction covers Takoradi and surrounding areas,+233 521 384 781,takoradi.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Takoradi, Western region",ACTIVE
15,Sekondi Circuit Court,,Circuit Court,Western,Gender Based Violence Court,"Sekondi Circuit Court, Gender Based Violence Court, Western",,,5.729555,-2.156627,,Jurisdiction covers Gender Based Violence Court and surrounding areas,+233 503 679 568,genderbasedviolencecourt.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Gender Based Violence Court, Western region",ACTIVE
16,Tarkwa Circuit Court,,Circuit Court,Western,GBVC,"Tarkwa Circuit Court, GBVC, Western",,,5.08196,-2.096491,,Jurisdiction covers GBVC and surrounding areas,+233 307 517 696,gbvc.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in GBVC, Western region",ACTIVE
17,Axim Circuit Court,,Circuit Court,Western,Axim,"Axim Circuit Court, Axim, Western",,,5.544522,-2.42903,,Jurisdiction covers Axim and surrounding areas,+233 769 821 206,axim.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Axim, Western region",ACTIVE
18,Sekondi District Court – A,,District Court,Western,Sekondi,"Sekondi District Court – A, Sekondi, Western",,,5.519376,-1.915283,,Jurisdiction covers Sekondi and surrounding areas,+233 205 613 211,sekondi.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Sekondi, Western region",ACTIVE
