id,name,short_name,logo_url,website,phone,email,address,city,region,country,postal_code,license_number,registration_number,established_date,insurance_type,ownership_type,services,previous_names,coverage_areas,branches_count,agents_count,total_assets,net_worth,premium_income,claims_paid,rating,head_office_address,customer_service_phone,customer_service_email,claims_phone,claims_email,has_mobile_app,has_online_portal,has_online_claims,has_24_7_support,specializes_in,target_market,is_active,is_verified,verification_date,verification_notes,search_count,last_searched,created_at,updated_at,created_by,updated_by,description,notes,status
268,SIC Insurance Company,,/insurances/SIC.jpeg,https://www.sic.com.gh,+233 30 266 2000,info@sic.com.gh,"Head Office, SIC Insurance Company, Accra",,,Ghana,,NIC001,,1966-01-01 00:00:00,General Insurance,,"[""Motor Insurance"", ""Property Insurance"", ""Health Insurance"", ""Life Insurance""]","['SIC Insurance Company Limited', 'SIC Insurance Co. Ltd', 'SIC Insurance', 'SIC Life Insurance Company', 'SIC Life Insurance Co. Ltd', 'SIC Insurance Corporation']","[""Greater Accra"", ""Ashanti"", ""Western"", ""Central"", ""Eastern"", ""Volta"", ""Northern"", ""Upper East"", ""Upper West"", ""Brong Ahafo""]",12,436,3009490000.0,976603000.0,89304000.0,320967000.0,,"Head Office, SIC Insurance Company, Accra",,,,,False,False,True,True,"[""General Insurance"", ""Motor Insurance"", ""Property Insurance""]",Individual and Corporate,True,False,,,8,2025-09-14 18:52:32,2025-09-11 10:55:21,2025-09-14 18:52:32,,,,,ACTIVE
271,Enterprise Life Insurance,,/insurances/ENTERPRISE LIFE.png,https://www.enterpriselife.com.gh,+233 30 266 2003,info@enterpriselife.com.gh,"Head Office, Enterprise Life Insurance, Accra",,,Ghana,,NIC004,,1990-01-01 00:00:00,Life Insurance,,"[""Motor Insurance"", ""Property Insurance"", ""Health Insurance"", ""Life Insurance""]","['Enterprise Life Insurance Company Limited', 'Enterprise Life Insurance Co. Ltd', 'Enterprise Life', 'Enterprise Life Assurance Company', 'Enterprise Life Assurance Co. Ltd', 'Enterprise Life Insurance Corporation']","[""Greater Accra"", ""Ashanti"", ""Western"", ""Central"", ""Eastern"", ""Volta"", ""Northern"", ""Upper East"", ""Upper West"", ""Brong Ahafo""]",7,137,2083200000.0,133088000.0,457843000.0,796726000.0,,"Head Office, Enterprise Life Insurance, Accra",,,,,False,False,True,True,"[""Life Insurance"", ""Motor Insurance"", ""Property Insurance""]",Individual and Corporate,True,False,,,13,2025-09-28 07:23:02.987109,2025-09-11 10:55:21,2025-09-28 07:23:02.987109,,,,,ACTIVE
269,GLICO General Insurance,,/insurances/GLICO GENERAL.png,https://www.glicogeneral.com.gh,+233 30 266 2001,info@glicogeneral.com.gh,"Head Office, GLICO General Insurance, Accra",,,Ghana,,NIC002,,1963-01-01 00:00:00,General Insurance,,"[""Motor Insurance"", ""Property Insurance"", ""Health Insurance"", ""Life Insurance""]",,"[""Greater Accra"", ""Ashanti"", ""Western"", ""Central"", ""Eastern"", ""Volta"", ""Northern"", ""Upper East"", ""Upper West"", ""Brong Ahafo""]",71,680,998415000.0,157533000.0,1166440000.0,80341100.0,,"Head Office, GLICO General Insurance, Accra",,,,,False,False,True,True,"[""General Insurance"", ""Motor Insurance"", ""Property Insurance""]",Individual and Corporate,True,False,,,7,2025-09-28 07:23:08.426408,2025-09-11 10:55:21,2025-09-28 07:23:08.426408,,,,,ACTIVE
270,Metropolitan Insurance Company,,/insurances/METROPOLITAN.jpeg,https://www.metropolitan.com.gh,+233 30 266 2002,info@metropolitan.com.gh,"Head Office, Metropolitan Insurance Company, Accra",,,Ghana,,NIC003,,1978-01-01 00:00:00,Life Insurance,,"[""Motor Insurance"", ""Property Insurance"", ""Health Insurance"", ""Life Insurance""]","['Metropolitan Insurance Company Limited', 'Metropolitan Insurance Ghana', 'MetLife Ghana', 'Metropolitan Insurance Co. Ltd', 'MetLife Insurance Ghana', 'Metropolitan Life Insurance Ghana']","[""Greater Accra"", ""Ashanti"", ""Western"", ""Central"", ""Eastern"", ""Volta"", ""Northern"", ""Upper East"", ""Upper West"", ""Brong Ahafo""]",90,972,2508250000.0,832258000.0,958187000.0,380416000.0,,"Head Office, Metropolitan Insurance Company, Accra",,,,,False,False,True,True,"[""Life Insurance"", ""Motor Insurance"", ""Property Insurance""]",Individual and Corporate,True,False,,,5,2025-09-28 15:26:39.165021,2025-09-11 10:55:21,2025-09-28 15:26:39.165021,,,,,ACTIVE
282,COSMOPOLITAN Insurance,,/insurances/COSMOPOLITAN.png,https://www.cosmopolitan.com.gh,+233 30 266 2014,info@cosmopolitan.com.gh,"Head Office, COSMOPOLITAN Insurance, Accra",,,Ghana,,NIC015,,1989-01-01 00:00:00,General Insurance,,"[""Motor Insurance"", ""Property Insurance"", ""Health Insurance"", ""Life Insurance""]",,"[""Greater Accra"", ""Ashanti"", ""Western"", ""Central"", ""Eastern"", ""Volta"", ""Northern"", ""Upper East"", ""Upper West"", ""Brong Ahafo""]",57,411,761804000.0,417542000.0,1468490000.0,574802000.0,,"Head Office, COSMOPOLITAN Insurance, Accra",,,,,False,False,True,True,"[""General Insurance"", ""Motor Insurance"", ""Property Insurance""]",Individual and Corporate,True,False,,,12,2025-09-28 07:23:02.987109,2025-09-11 10:55:21,2025-09-28 07:23:02.987109,,,,,ACTIVE
284,DOSH Insurance,,/insurances/DOSH.jpeg,https://www.dosh.com.gh,+233 30 266 2016,info@dosh.com.gh,"Head Office, DOSH Insurance, Accra",,,Ghana,,NIC017,,1966-01-01 00:00:00,General Insurance,,"[""Motor Insurance"", ""Property Insurance"", ""Health Insurance"", ""Life Insurance""]",,"[""Greater Accra"", ""Ashanti"", ""Western"", ""Central"", ""Eastern"", ""Volta"", ""Northern"", ""Upper East"", ""Upper West"", ""Brong Ahafo""]",10,908,2768870000.0,189505000.0,1777660000.0,1322830000.0,,"Head Office, DOSH Insurance, Accra",,,,,False,False,True,True,"[""General Insurance"", ""Motor Insurance"", ""Property Insurance""]",Individual and Corporate,True,False,,,16,2025-09-28 07:23:02.987109,2025-09-11 10:55:21,2025-09-28 07:23:02.987109,,,,,ACTIVE
285,ENTERPRISE Insurance,,/insurances/ENTERPRISE.png,https://www.enterprise.com.gh,+233 30 266 2017,info@enterprise.com.gh,"Head Office, ENTERPRISE Insurance, Accra",,,Ghana,,NIC018,,1961-01-01 00:00:00,General Insurance,,"[""Motor Insurance"", ""Property Insurance"", ""Health Insurance"", ""Life Insurance""]",,"[""Greater Accra"", ""Ashanti"", ""Western"", ""Central"", ""Eastern"", ""Volta"", ""Northern"", ""Upper East"", ""Upper West"", ""Brong Ahafo""]",78,271,4484940000.0,493426000.0,213797000.0,498338000.0,,"Head Office, ENTERPRISE Insurance, Accra",,,,,False,False,True,True,"[""General Insurance"", ""Motor Insurance"", ""Property Insurance""]",Individual and Corporate,True,False,,,12,2025-09-28 07:23:02.987109,2025-09-11 10:55:21,2025-09-28 07:23:02.987109,,,,,ACTIVE
283,DONEWELL Insurance,,/insurances/DONEWELL.png,https://www.donewell.com.gh,+233 30 266 2015,info@donewell.com.gh,"Head Office, DONEWELL Insurance, Accra",,,Ghana,,NIC016,,1975-01-01 00:00:00,General Insurance,,"[""Motor Insurance"", ""Property Insurance"", ""Health Insurance"", ""Life Insurance""]",,"[""Greater Accra"", ""Ashanti"", ""Western"", ""Central"", ""Eastern"", ""Volta"", ""Northern"", ""Upper East"", ""Upper West"", ""Brong Ahafo""]",52,469,4624060000.0,876991000.0,907444000.0,91484700.0,,"Head Office, DONEWELL Insurance, Accra",,,,,False,False,True,True,"[""General Insurance"", ""Motor Insurance"", ""Property Insurance""]",Individual and Corporate,True,False,,,13,2025-09-28 07:23:02.987109,2025-09-11 10:55:21,2025-09-28 07:23:02.987109,,,,,ACTIVE
299,MILLENNIUM Insurance,,/insurances/MILLENNIUM.png,https://www.millennium.com.gh,+233 30 266 2031,info@millennium.com.gh,"Head Office, MILLENNIUM Insurance, Accra",,,Ghana,,NIC032,,2006-01-01 00:00:00,General Insurance,,"[""Motor Insurance"", ""Property Insurance"", ""Health Insurance"", ""Life Insurance""]",,"[""Greater Accra"", ""Ashanti"", ""Western"", ""Central"", ""Eastern"", ""Volta"", ""Northern"", ""Upper East"", ""Upper West"", ""Brong Ahafo""]",59,357,2343030000.0,288998000.0,1834260000.0,1002700000.0,,"Head Office, MILLENNIUM Insurance, Accra",,,,,False,False,True,True,"[""General Insurance"", ""Motor Insurance"", ""Property Insurance""]",Individual and Corporate,True,False,,,4,2025-09-14 18:51:07,2025-09-11 10:55:21,2025-09-14 18:51:07,,,,,ACTIVE
292,GLICO Insurance,,/insurances/GLICO.png,https://www.glico.com.gh,+233 30 266 2024,info@glico.com.gh,"Head Office, GLICO Insurance, Accra",,,Ghana,,NIC025,,2016-01-01 00:00:00,General Insurance,,"[""Motor Insurance"", ""Property Insurance"", ""Health Insurance"", ""Life Insurance""]",,"[""Greater Accra"", ""Ashanti"", ""Western"", ""Central"", ""Eastern"", ""Volta"", ""Northern"", ""Upper East"", ""Upper West"", ""Brong Ahafo""]",97,347,2925770000.0,302713000.0,1860110000.0,737800000.0,,"Head Office, GLICO Insurance, Accra",,,,,False,False,True,True,"[""General Insurance"", ""Motor Insurance"", ""Property Insurance""]",Individual and Corporate,True,False,,,7,2025-09-28 07:23:08.426408,2025-09-11 10:55:21,2025-09-28 07:23:08.426408,,,,,ACTIVE
