id,name,display_name,description,category,resource,action,is_system_permission,is_active,created_at,updated_at,created_by,updated_by
1,users.create,Create Users,Create new user accounts,users,user,create,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
2,users.read,View Users,View user information,users,user,read,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
3,users.update,Update Users,Update user information,users,user,update,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
4,users.delete,Delete Users,Delete user accounts,users,user,delete,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
5,cases.create,Create Cases,Create new case records,cases,case,create,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
6,cases.read,View Cases,View case information,cases,case,read,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
7,cases.update,Update Cases,Update case information,cases,case,update,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
8,cases.delete,Delete Cases,Delete case records,cases,case,delete,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
9,cases.process,Process Cases,Process case metadata and analytics,cases,case,process,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
10,people.create,Create People,Create new people records,people,person,create,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
11,people.read,View People,View people information,people,person,read,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
12,people.update,Update People,Update people information,people,person,update,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
13,people.delete,Delete People,Delete people records,people,person,delete,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
14,banks.create,Create Banks,Create new bank records,banks,bank,create,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
15,banks.read,View Banks,View bank information,banks,bank,read,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
16,banks.update,Update Banks,Update bank information,banks,bank,update,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
17,banks.delete,Delete Banks,Delete bank records,banks,bank,delete,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
18,insurance.create,Create Insurance,Create new insurance records,insurance,insurance,create,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
19,insurance.read,View Insurance,View insurance information,insurance,insurance,read,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
20,insurance.update,Update Insurance,Update insurance information,insurance,insurance,update,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
21,insurance.delete,Delete Insurance,Delete insurance records,insurance,insurance,delete,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
22,companies.create,Create Companies,Create new company records,companies,company,create,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
23,companies.read,View Companies,View company information,companies,company,read,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
24,companies.update,Update Companies,Update company information,companies,company,update,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
25,companies.delete,Delete Companies,Delete company records,companies,company,delete,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
26,payments.create,Create Payments,Create new payment records,payments,payment,create,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
27,payments.read,View Payments,View payment information,payments,payment,read,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
28,payments.update,Update Payments,Update payment information,payments,payment,update,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
29,payments.delete,Delete Payments,Delete payment records,payments,payment,delete,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
30,admin.dashboard,Access Admin Dashboard,Access the admin dashboard,admin,dashboard,read,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
31,admin.settings,Manage Settings,Manage system settings,admin,settings,manage,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
32,admin.roles,Manage Roles,Manage user roles and permissions,admin,roles,manage,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
33,admin.api_keys,Manage API Keys,Manage API keys,admin,api_keys,manage,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
34,admin.analytics,View Analytics,View system analytics and reports,admin,analytics,read,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
35,reports.generate,Generate Reports,Generate system reports,reports,report,create,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
36,reports.export,Export Data,Export system data,reports,data,export,True,True,2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
