id,person_id,risk_score,risk_level,risk_factors,total_monetary_amount,average_case_value,financial_risk_level,primary_subject_matter,subject_matter_categories,legal_issues,financial_terms,case_complexity_score,success_rate,last_updated,created_at
1,41100,100,Critical,"['business_dispute: commercial', 'violence: violence', 'criminal: assault', 'criminal: fraud', 'criminal: robbery', 'criminal: drug', 'violence: assault', 'business_dispute: breach', 'criminal: murder', 'financial: fraud', 'property: property', 'business_dispute: contract', 'corruption: bribery', 'property: ownership', 'violence: manslaughter', 'property: land', 'family: family', 'corruption: misappropriation', 'financial: money laundering', 'criminal: criminal', 'family: custody', 'criminal: theft', 'corruption: corruption', 'violence: murder', 'criminal: money laundering', 'business_dispute: business']",38932659.10,270365.69,Critical,Criminal,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Criminal', 'Commercial', 'Employment', 'Tort', 'Constitutional', 'Administrative']","['Procedure', 'Negligence', 'Human Rights', 'Misrepresentation', 'Jurisdiction', 'Criminal Law', 'Constitutional', 'Due Process', 'Evidence', 'Fraud']","['Fine', 'Penalty', 'Remedy', 'Interest Rate', 'Compensation', 'Restitution']",12,0.00,2025-09-13 15:08:06+00:00,2025-09-13 15:08:06+00:00
2,44237,70,High,"['criminal', 'murder', 'assault', 'robbery', 'property', 'land', 'ownership']",9679.30,47.92,Low,Property Dispute,"['Property Dispute', 'Criminal', 'Administrative']",[],['fine'],2,0.00,2025-09-15 09:00:17+00:00,2025-09-13 15:08:07+00:00
3,41946,0,Low,[],0.00,0.00,Low,N/A,[],[],[],0,0.00,2025-09-13 15:08:08+00:00,2025-09-13 15:08:08+00:00
4,43559,21,Medium,"['criminal', 'breach', 'land', 'boundary']",9376.00,104.18,Low,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment']",[],"['payment', 'damages', 'fine']",5,100.00,2025-09-15 08:58:47+00:00,2025-09-13 15:08:09+00:00
5,45250,21,Medium,"['business', 'custody', 'property', 'land', 'boundary', 'ownership']",1459.00,29.18,Low,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial']",['property dispute'],"['payment', 'damages']",5,100.00,2025-09-15 09:02:33+00:00,2025-09-13 15:08:11+00:00
6,43333,3,Low,['contract'],73.00,18.25,Low,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Employment', 'Administrative']",[],['payment'],2,0.00,2025-09-15 08:58:13+00:00,2025-09-13 15:08:12+00:00
7,40104,39,Medium,"['criminal', 'violence', 'breach', 'commercial', 'family', 'property', 'land', 'ownership']",133120.00,264.65,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Family Law', 'Commercial', 'Employment', 'Constitutional']",[],"['investment', 'damages', 'fine', 'settlement']",10,100.00,2025-09-15 08:50:51+00:00,2025-09-13 15:08:13+00:00
8,41714,0,Low,[],0.00,0.00,Low,N/A,[],[],[],0,0.00,2025-09-13 15:08:14+00:00,2025-09-13 15:08:14+00:00
9,40057,136,High,"['criminal', 'family', 'property', 'land', 'ownership', 'boundary', 'breach', 'fraud', 'commercial', 'custody']",313497.13,197.04,High,Property Dispute,"['Property Dispute', 'Employment', 'Constitutional', 'Administrative', 'Commercial', 'Contract Dispute', 'Fraud', 'Family Law']","['property dispute', 'fraud']","['refund', 'damages', 'payment', 'investment', 'fine', 'compensation', 'settlement']",10,88.89,2025-09-15 08:50:44+00:00,2025-09-13 15:08:16+00:00
10,40610,0,Low,[],0.00,0.00,Low,N/A,[],[],[],0,0.00,2025-09-13 15:08:18+00:00,2025-09-13 15:08:18+00:00
11,39327,100,Critical,"['criminal: assault', 'criminal case type', 'criminal: robbery', 'criminal: criminal', 'family: custody', 'family: family', 'business_dispute: contract', 'violence: assault', 'property: property']",0.00,0.00,Low,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Criminal', 'Commercial', 'Constitutional']","['Procedure', 'Evidence', 'Constitutional', 'Jurisdiction']",['Fine'],7,0.00,2025-09-13 15:20:51+00:00,2025-09-13 15:20:51+00:00
12,43421,30,Medium,"['fraud', 'property', 'land', 'ownership']",13038.00,88.69,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment']","['property dispute', 'fraud']","['damages', 'settlement']",7,100.00,2025-09-15 08:58:25+00:00,2025-09-13 15:49:49+00:00
13,40239,2,Low,['family'],32877.00,128.43,Medium,Administrative,"['Property Dispute', 'Employment', 'Constitutional', 'Administrative']",['human rights'],[],7,100.00,2025-09-15 08:51:09+00:00,2025-09-13 17:04:06+00:00
14,39466,17,Low,"['contract', 'family', 'property', 'land', 'boundary']",6349.00,89.42,Low,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Employment', 'Administrative']",['property dispute'],['damages'],5,100.00,2025-09-15 08:49:28+00:00,2025-09-14 07:06:37+00:00
15,39223,32,Medium,"['fraud', 'contract', 'breach', 'property', 'land']",20802.00,94.13,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Employment']",['fraud'],"['payment', 'compensation']",7,100.00,2025-09-15 08:48:56+00:00,2025-09-15 08:48:56+00:00
16,39224,15,Low,"['business', 'property', 'land', 'ownership']",808630.00,35157.83,High,Property Dispute,"['Property Dispute', 'Commercial', 'Employment']",['property dispute'],"['payment', 'compensation']",2,0.00,2025-09-15 08:48:56+00:00,2025-09-15 08:48:56+00:00
