id,person_id,total_cases,resolved_cases,unresolved_cases,favorable_cases,unfavorable_cases,mixed_cases,case_outcome,last_updated,created_at
1,39223,1,0,1,0,1,0,Mixed,2025-09-15 08:48:56+00:00,2025-09-13 12:43:42+00:00
2,39224,1,0,1,0,1,0,Mixed,2025-09-15 08:48:56+00:00,2025-09-13 12:43:42+00:00
3,39225,1,0,1,0,1,0,Mixed,2025-09-15 08:48:56+00:00,2025-09-13 12:43:42+00:00
4,39226,1,0,1,0,1,0,Mixed,2025-09-15 08:48:57+00:00,2025-09-13 12:43:42+00:00
5,39227,2,0,2,0,0,0,N/A,2025-09-13 12:45:39+00:00,2025-09-13 12:43:42+00:00
6,39228,1,0,1,0,1,0,Mixed,2025-09-15 08:48:57+00:00,2025-09-13 12:43:42+00:00
7,39229,0,0,0,0,0,0,N/A,2025-09-13 12:45:39+00:00,2025-09-13 12:43:42+00:00
8,39230,1,1,0,1,0,0,Favorable,2025-09-13 12:45:39+00:00,2025-09-13 12:43:42+00:00
9,39231,2,0,2,0,2,0,Mixed,2025-09-15 08:48:57+00:00,2025-09-13 12:43:42+00:00
10,39232,1,0,1,0,1,0,Mixed,2025-09-15 08:48:57+00:00,2025-09-13 12:43:42+00:00
11,39233,1,0,1,0,1,0,Mixed,2025-09-15 08:48:57+00:00,2025-09-13 12:43:42+00:00
12,39234,0,0,0,0,0,0,N/A,2025-09-13 12:45:40+00:00,2025-09-13 12:43:42+00:00
13,39235,1,0,1,0,1,0,Mixed,2025-09-15 08:48:58+00:00,2025-09-13 12:43:42+00:00
14,39236,1,1,0,1,0,0,Mixed,2025-09-15 08:48:58+00:00,2025-09-13 12:43:42+00:00
15,39237,1,0,1,0,1,0,Mixed,2025-09-15 08:48:58+00:00,2025-09-13 12:43:42+00:00
16,39238,1,0,1,0,1,0,Mixed,2025-09-15 08:48:58+00:00,2025-09-13 12:43:42+00:00
17,39239,1,0,1,0,1,0,Mixed,2025-09-15 08:48:58+00:00,2025-09-13 12:43:42+00:00
18,39240,0,0,0,0,0,0,N/A,2025-09-13 12:45:41+00:00,2025-09-13 12:43:42+00:00
19,39241,1,0,1,0,1,0,Mixed,2025-09-15 08:48:59+00:00,2025-09-13 12:43:42+00:00
20,39242,1,0,1,0,1,0,Mixed,2025-09-15 08:48:59+00:00,2025-09-13 12:43:42+00:00
21,39243,1,0,1,0,1,0,Mixed,2025-09-15 08:48:59+00:00,2025-09-13 12:43:42+00:00
22,39244,1,0,1,0,1,0,Mixed,2025-09-15 08:48:59+00:00,2025-09-13 12:43:42+00:00
23,39245,1,0,1,0,0,0,N/A,2025-09-13 12:45:41+00:00,2025-09-13 12:43:42+00:00
24,39246,0,0,0,0,0,0,N/A,2025-09-13 12:45:42+00:00,2025-09-13 12:43:42+00:00
25,39247,1,0,1,0,1,0,Mixed,2025-09-15 08:48:59+00:00,2025-09-13 12:43:42+00:00
26,39248,2,0,2,0,0,0,N/A,2025-09-13 12:45:42+00:00,2025-09-13 12:43:42+00:00
